Time,Length
144.983139000,117
145.023495000,60
145.026857000,60
145.031355000,117
145.070958000,60
145.079332000,60
145.083449000,117
145.122550000,60
145.126922000,60
145.171771000,117
145.238980000,60
145.242726000,60
145.246598000,60
145.338420000,60
145.571156000,184
145.739174000,60
145.899451000,117
145.970420000,60
145.978405000,60
145.982402000,60
145.987400000,117
146.167790000,60
146.171662000,60
146.179283000,60
146.183655000,117
146.247617000,60
146.251241000,60
146.260873000,60
146.264230000,117
146.303332000,60
146.307454000,60
146.311827000,60
146.320322000,117
146.355924000,60
146.363670000,60
146.367553000,117
146.411391000,60
146.419511000,60
146.423258000,60
146.427880000,117
146.475484000,60
146.483347000,60
146.487969000,60
146.503711000,117
146.543563000,60
146.547558000,60
146.551805000,117
146.591656000,60
146.599525000,60
146.603648000,117
146.643750000,60
146.647122000,60
146.652119000,117
146.703964000,117
146.751573000,60
146.759679000,60
146.767674000,60
146.771803000,117
146.815770000,60
146.824514000,60
146.827393000,60
146.832634000,117
146.875734000,60
146.883604000,60
146.887852000,117
146.927578000,60
146.939570000,60
146.949563000,117
146.987916000,60
146.995786000,60
146.999907000,117
147.079862000,60
147.087479000,60
147.091602000,60
147.096474000,117
147.159685000,60
147.164193000,60
147.167681000,60
147.172068000,117
147.228269000,60
147.236014000,60
147.239262000,117
147.296228000,60
147.304224000,60
147.307971000,60
147.444018000,60
147.539455000,117
147.583679000,60
147.587550000,60
147.591801000,117
147.648017000,60
147.659633000,60
147.664378000,117
147.715848000,60
147.719594000,60
147.723842000,60
147.728839000,117
147.775561000,60
147.779558000,60
147.783555000,60
147.791551000,117
147.847518000,60
147.851392000,60
147.860009000,117
147.908110000,60
147.911609000,60
147.916350000,117
147.959453000,60
147.963821000,60
147.967950000,60
147.975472000,117
148.020037000,60
148.027532000,60
148.031780000,60
148.040899000,117
148.095742000,60
148.100238000,60
148.103367000,60
148.108233000,117
148.163451000,60
148.168197000,60
148.175697000,60
148.180189000,117
148.231789000,60
148.239779000,60
148.243776000,60
148.248148000,117
148.315483000,60
148.319480000,60
148.323477000,60
148.327474000,117
148.383941000,60
148.387313000,60
148.391935000,60
148.396183000,117
148.447529000,60
148.452149000,60
148.455522000,60
148.459644000,117
148.511238000,60
148.519234000,60
148.523358000,60
148.527854000,117
148.583694000,60
148.591566000,60
148.595686000,60
148.600059000,117
148.651652000,60
148.655275000,60
148.659282000,60
148.663645000,117
148.715364000,60
148.719610000,60
148.723233000,60
148.728355000,117
148.775203000,60
148.779451000,60
148.783698000,117
148.828295000,60
148.831417000,60
148.836164000,117
148.900001000,60
148.903499000,60
148.908121000,60
148.916616000,117
148.975457000,60
148.979828000,60
148.987326000,60
148.991820000,117
149.035551000,60
149.043914000,60
149.047537000,60
149.052033000,117
149.163841000,60
149.168343000,60
149.175710000,60
149.315999000,117
149.384207000,60
149.392585000,60
149.396074000,60
